street,zip,city,name,cemetery_type,

"Eichhofstr. 48a","24116","Kiel","Alter/ neuer Urnenfriedhof","Tree burial"
"Am Steinbrünnle 2","78727","Oberndorf/ Neckar","Altoberndorf","Diamond cremation"
"Stadionstr.5","22525","Hamburg","Altona","Cemetery burial"
"Godenweg","28779","Bremen","Am Godenweg","Urn cremation"
"Hallostraße","45309","Essen","Am Hallo","Tree burial"
"Hellweg","45279","Essen","Am Hellweg","Tree burial"
"Richtstraße","45359","Essen","Am Schildberg","Cemetery burial"
"","96450","Coburg","Am Schlossberg","Tree burial"
"Ringkuhle 7","32423","Minden","Aminghausen","Tree burial"
"","06110","Halle/Saale","Ammendorf","Tree burial"
"Ostfeldstraße","30559","Hannover","Anderten","Diamond cremation"
"Am Hohen Ufer 100","48167","Münster","Angelmodde/ Am Hohen Ufer","Cemetery burial"
"Homannstr.58","48167","Münster","Angelmodde/ Homannstr.","Cemetery burial"
"Rahmerstr.","40489","Düsseldorf","Angermund","Cemetery burial"
"Kortenstr. 30","44287","Dortmund","Aplerbeck","Cemetery burial"
"Köln-Berliner-Str. 88","44287","Dortmund","Aplerbeck Mitte","Tree burial"
"Im Flürchen","56077","Koblenz","Arenberg/ Immendorf","Tree burial"
"Weiterstädter Straße 46","64291","Darmstadt","Arheilger Friedhof","Cemetery burial"
"In der Tränke 24","28279","Bremen","Arsten","Urn cremation"
"Unterdorfstraße","56077","Koblenz","Arzheim","Urn cremation"
"Friedhofsweg","36251","Bad","Asbach","Urn cremation"
"Kolonnenweg","56077","Koblenz","Asterstein","Tree burial"
"Freihamer Weg 73","81249","München","Aubing","Cemetery burial"
"Am Hauptfriedhof 1","15236","Frankfurt/Oder","Auf dem Hauptfriedhof Frankfurt (Oder)","Cemetery burial"
"Alt-Auringen","64207","Wiesbaden","Auringen","Urn cremation"
"Brodweg 20c","38104","Braunschweig","Ausländerfriedhof","Cemetery burial"
"","34454","Bad","Bad Arolsen","Diamond cremation"
"","33014","Bad","Bad Driburg","Cemetery burial"
"Karl-Marx-Straße 1","16259","Bad","Bad Freienwalde","Tree burial"
